9/24 00:37:46.579  ---- Startup ----
9/24 00:37:47.421  	Requesting TactKey RecID 15
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331076 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331079 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331082 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331083 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331084 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1594069 VALIDATION_RESULT_DELETE
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1605779 VALIDATION_RESULT_DELETE
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687012 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687013 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687014 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687015 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687016 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687017 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687018 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687019 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687020 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687023 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687024 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687025 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687026 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687027 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687028 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687029 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687030 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687031 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687032 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687033 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687034 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687035 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687036 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687037 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687038 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687039 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687040 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687041 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687042 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687043 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687044 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687051 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687052 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687053 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687054 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687055 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687056 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687057 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687058 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687059 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687060 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687061 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687062 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687063 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687064 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitEntry RecID 1687065 VALIDATION_RESULT_VALID
